403.017	117.844
406.089	120.844
409.158	121.844
412.228	122.656
415.295	123.375
418.364	122.594
421.429	124.844
424.495	127.344
427.558	126.156
430.622	126.469
433.683	123.406
436.743	126.781
439.804	126.781
442.862	126.031
445.919	127.063
448.977	127.469
452.032	129.281
455.086	127.656
458.138	129.406
461.19	128.906
464.243	132.25
467.293	132.062
470.342	134.812
473.39	133.313
476.436	134.719
479.482	134.656
482.527	135.688
485.571	135.625
488.611	137.937
491.653	134.625
494.694	135.281
497.733	137.563
500.772	136.094
503.81	137.844
506.844	138.063
509.88	135
512.915	137.469
515.946	139
518.979	139.719
522.009	139.281
525.039	144.656
528.069	144.844
531.095	146.219
534.123	145.812
537.148	148.219
540.171	148.75
543.196	151.844
546.217	150.437
549.238	149.937
552.26	152.688
555.278	151.344
558.296	150.406
561.312	151.312
564.33	151.094
567.345	151.781
570.358	150.562
573.371	152.438
576.382	151.625
579.393	153.5
582.403	153.656
585.411	154.156
588.419	156.437
591.425	157.781
594.431	158.844
597.434	154.563
600.437	160
603.44	160.438
606.442	160.219
609.442	160.5
612.44	160.906
615.439	162.5
618.434	162.344
621.431	163.031
624.427	164.281
627.419	164.469
630.413	165.062
633.404	166.281
636.394	170.187
639.385	170.406
642.372	170.156
645.361	175.094
648.347	173.187
651.332	173.656
654.316	170.938
657.301	174.844
660.283	176.781
663.264	175.437
666.243	176.063
669.222	175.906
672.2	176.719
675.177	177.5
678.154	176.531
681.129	178.438
684.103	176.781
687.076	180.312
690.048	176.438
693.017	182.094
695.987	182.094
698.956	182.781
701.925	186.625
704.89	185.25
707.856	187.719
710.822	186.094
713.784	189.375
716.747	189.375
719.708	191.75
722.669	191.625
725.628	189.5
728.585	193.125
731.544	191.594
734.499	194.406
737.454	195.469
740.409	195.219
743.362	197.656
746.314	197.531
749.264	196.875
752.214	199.75
755.163	199.125
758.111	201.031
761.058	204.5
764.004	204.406
766.949	206.406
769.893	206.469
772.836	207.344
775.778	206.625
778.719	210.75
781.657	212.781
784.596	211.656
787.534	214.063
790.472	214.937
793.406	215.531
796.341	215.406
799.274	217.563
802.207	217.125
805.138	220.156
808.069	220.812
810.998	222.562
813.926	223.062
816.854	225.188
819.78	229.938
822.705	229.625
825.629	228.344
828.554	231.531
831.475	232.25
834.396	232.625
837.316	232.438
840.236	237.312
843.154	237.469
846.071	238.219
848.987	239.25
851.902	237.469
854.817	239.656
857.728	241.594
860.641	246.5
863.552	247.75
866.461	245.594
869.37	248.187
872.279	248.938
875.185	253.281
878.092	252.188
880.996	256.187
883.901	254.5
886.802	259.906
889.704	262.156
892.606	264.156
895.505	264.781
898.403	268.781
901.302	265
904.199	268.438
907.094	270.562
909.989	273.625
912.882	276.031
915.775	274.125
918.667	276.781
921.557	278.062
924.447	281.75
927.336	279.625
930.222	281.812
933.109	281.531
935.995	286.062
938.88	283.906
941.763	287.344
944.646	291.25
947.528	290.063
950.408	294.312
953.288	296.188
956.166	295.75
959.043	302.562
961.92	306.469
964.795	306.594
